Project Name: Playwright Delta 814 Multiphase
Closed the box
Completed the box selection
Found 38 elements with data-testid containing "100"
Clicked on an element containing "100" in data-testid
Clicked on an element containing "100" in data-testid
Clicked on an element containing "100" in data-testid
Clicked on an element containing "100" in data-testid
Clicked on an element containing "100" in data-testid
Clicked on an element containing "100" in data-testid
Clicked on an element containing "100" in data-testid
Clicked on an element containing "100" in data-testid
Clicked on an element containing "100" in data-testid
Clicked on an element containing "100" in data-testid
Clicked on an element containing "100" in data-testid
Clicked on an element containing "100" in data-testid
Clicked on an element containing "100" in data-testid
Clicked on an element containing "100" in data-testid
Clicked on an element containing "100" in data-testid
Clicked on an element containing "100" in data-testid
Clicked on an element containing "100" in data-testid
Clicked on an element containing "100" in data-testid
Clicked on an element containing "100" in data-testid
Clicked on an element containing "100" in data-testid
Clicked on an element containing "100" in data-testid
Clicked on an element containing "100" in data-testid
Clicked on an element containing "100" in data-testid
Clicked on an element containing "100" in data-testid
Clicked on an element containing "100" in data-testid
Clicked on an element containing "100" in data-testid
Clicked on an element containing "100" in data-testid
Clicked on an element containing "100" in data-testid
Clicked on an element containing "100" in data-testid
Clicked on an element containing "100" in data-testid
Clicked on an element containing "100" in data-testid
Clicked on an element containing "100" in data-testid
Clicked on an element containing "100" in data-testid
Clicked on an element containing "100" in data-testid
Clicked on an element containing "100" in data-testid
Clicked on an element containing "100" in data-testid
Clicked on an element containing "100" in data-testid
Clicked on an element containing "100" in data-testid
